sequence,recording,condition,arm,frames,ospa,gospa,loc2,miss2,false2,countError
0000,testoutput_CAV_data_2022-03-15-09-54-40,reliable,marked_gaussian_evidence_decoupled_all,147,1.9973681491175626,2.3800068535645598,0.19031478845805852,13.714285714285714,4.8979591836734695,0.23129251700680273
0000,testoutput_CAV_data_2022-03-15-09-54-40,reliable,marked_gaussian_evidence_decoupled_positive,147,2.054032577760005,2.436677272645612,0.19032089270418573,13.714285714285714,5.387755102040816,0.23809523809523808
0000,testoutput_CAV_data_2022-03-15-09-54-40,reliable,marked_gaussian_evidence_decoupled_negative,147,1.997368139886679,2.380006840499032,0.19031478126147214,13.714285714285714,4.8979591836734695,0.23129251700680273
0000,testoutput_CAV_data_2022-03-15-09-54-40,reliable,marked_gaussian_evidence_decoupled_consensus,147,2.0540325088014852,2.4366771750925214,0.19032083902876012,13.714285714285714,5.387755102040816,0.23809523809523808
0000,testoutput_CAV_data_2022-03-15-09-54-40,reliable,marked_gaussian_evidence_fixedx_000,147,2.054849406199961,2.4672353828310616,0.1435153741737037,16.163265306122447,3.4285714285714284,0.24489795918367346
0000,testoutput_CAV_data_2022-03-15-09-54-40,reliable,marked_gaussian_evidence_fixedx_050,147,2.0037869965952555,2.4426385844974936,0.15772334099864527,15.673469387755102,3.9183673469387754,0.23129251700680273
0000,testoutput_CAV_data_2022-03-15-09-54-40,reliable,marked_gaussian_evidence_fixedx_100,147,1.9592399108497534,2.3894341047647916,0.16003128995844915,15.183673469387756,3.9183673469387754,0.22448979591836735
0000,testoutput_CAV_data_2022-03-15-09-54-40,reliable,marked_gaussian_evidence_fixedx_125,147,2.0715986945303033,2.5015519034163343,0.15916048959947154,15.183673469387756,4.8979591836734695,0.23809523809523808
0000,testoutput_CAV_data_2022-03-15-09-54-40,intermittent,marked_gaussian_evidence_decoupled_all,147,2.298440318108561,2.84873083149652,1.2760778853174268,13.959183673469388,6.122448979591836,0.25170068027210885
0000,testoutput_CAV_data_2022-03-15-09-54-40,intermittent,marked_gaussian_evidence_decoupled_positive,147,2.2984423727542547,2.84873382102405,1.276082949447952,13.959183673469388,6.122448979591836,0.25170068027210885
0000,testoutput_CAV_data_2022-03-15-09-54-40,intermittent,marked_gaussian_evidence_decoupled_negative,147,2.2984403090001058,2.848730818211993,1.2760778678003077,13.959183673469388,6.122448979591836,0.25170068027210885
0000,testoutput_CAV_data_2022-03-15-09-54-40,intermittent,marked_gaussian_evidence_decoupled_consensus,147,2.298442285887365,2.848733695505098,1.2760828103021666,13.959183673469388,6.122448979591836,0.25170068027210885
0000,testoutput_CAV_data_2022-03-15-09-54-40,intermittent,marked_gaussian_evidence_fixedx_000,147,2.4931863000325607,3.0705175863587493,1.214188916858654,16.653061224489797,5.63265306122449,0.282312925170068
0000,testoutput_CAV_data_2022-03-15-09-54-40,intermittent,marked_gaussian_evidence_fixedx_050,147,2.5135697393378886,3.102177469812287,1.2183534093406359,16.408163265306122,6.122448979591836,0.2857142857142857
0000,testoutput_CAV_data_2022-03-15-09-54-40,intermittent,marked_gaussian_evidence_fixedx_100,147,2.495567084802948,3.082081003603957,1.227229817417485,15.673469387755102,6.612244897959184,0.282312925170068
