sequence,condition,arm,frames,ospa,gospa,loc2,miss2,false2,countError,raw_bytes,delivered_raw_bytes,wire_bytes,runtime_s
v2xt_0001,reliable,marked_gaussian_evidence,240,8.750048563381354,25.35252026215347,22.59616116684202,484.5,142.8,4.745833333333334,14532896,14532896,18853888,252.12023975
v2xt_0001,reliable,marked_gaussian_evidence_known_censor,240,8.768465733595075,25.357382230032854,22.008372832255432,487.2,141.15,4.80625,13912320,13912320,18313216,236.47397575
v2xt_0001,reliable,marked_gaussian_evidence_prune_info,240,8.749327734889867,25.287200133006266,22.31497076211601,484.8,139.8,4.791666666666667,6787040,6787040,11431936,24.868939875
v2xt_0001,reliable,marked_gaussian_evidence_guarded_scalar,240,8.938266842655448,25.664305816749184,18.470392535406102,503.4,142.8,5.008333333333334,15964128,15964128,20279296,393.829387
v2xt_0001,reliable,marked_gaussian_evidence_guarded_scalar_known_censor,240,8.837588150726898,25.46076155163475,18.25078449363742,495.6,141.45,4.91875,15385792,15385792,19886080,293.8084089166667
v2xt_0001,reliable,marked_gaussian_evidence_guarded_scalar_prune_info,240,8.92368191635351,25.599581052782565,18.742561755977704,501.6,141.0,5.008333333333334,7508000,7508000,12087296,30.490925458333333
v2xt_0001,reliable,marked_lineage,240,8.574881180595439,24.954895505011375,18.675333194009475,466.8,143.7,4.4875,6863208,6863208,11382784,105.18837883333333
v2xt_0001,reliable,marked_lineage_known_censor,240,8.578221947309494,24.95852179020458,18.608139552991794,467.25,143.55,4.495833333333334,6789336,6789336,11317248,94.05561441666667
v2xt_0001,reliable,marked_lineage_prune_info,240,8.294486167056943,24.29792954830954,19.983683763775836,432.3,143.4,4.0125,3151512,3151512,7925760,13.303118625
v2xt_0001,intermittent,marked_gaussian_evidence,240,8.65398169218026,25.055786637608364,20.84003835463535,474.9,139.5,4.658333333333333,19951584,14535840,24424448,396.07925566666665
v2xt_0001,intermittent,marked_gaussian_evidence_known_censor,240,8.665815262175155,25.059743657900558,20.69503640530298,476.25,138.6,4.689583333333333,20055776,14631584,24473600,356.96245508333334
v2xt_0001,intermittent,marked_gaussian_evidence_prune_info,240,8.670273000933438,25.030704758340654,19.195906356038464,477.45,137.7,4.71875,7989728,6015584,12267520,26.593512583333332
v2xt_0001,intermittent,marked_gaussian_evidence_guarded_scalar,240,8.797805690183287,25.30815985711656,20.32729327397336,486.6,139.65,4.81875,21177600,15203232,25178112,590.646495625
v2xt_0001,intermittent,marked_gaussian_evidence_guarded_scalar_known_censor,240,8.716755484020966,25.14933113426203,19.788138613187055,481.2,138.75,4.75625,19873440,14299648,24506368,406.940458625
v2xt_0001,intermittent,marked_gaussian_evidence_guarded_scalar_prune_info,240,8.715747462299346,25.113014353793595,18.363892106378486,481.65,138.0,4.772916666666666,8091680,6094528,12169216,25.89744225
v2xt_0001,intermittent,marked_lineage,240,8.264497080283986,24.136503587759957,19.018138402599593,431.4,138.6,4.066666666666666,4219368,3446960,9367552,30.965390875
v2xt_0001,intermittent,marked_lineage_known_censor,240,8.266762390051785,24.131557718075893,19.01774603028297,431.7,138.15,4.077083333333333,4228656,3455384,9383936,27.757125666666667
v2xt_0001,intermittent,marked_lineage_prune_info,240,8.255886200747081,24.100178441849533,18.763293488038887,430.65,138.0,4.064583333333333,3253240,2559904,7942144,12.368561958333334
